 f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39, f40, f41, f42, f43, f44, f45, f46, f47, f48, f49, f50, f51,Type
4.527809423,1.802198991,0.821446858,-0.086310983,-0.257564961,-0.498142903,-0.411324788,-0.183743325,-0.655865739,-0.955268774,-0.438453703,-0.604271539,-0.265977286,0.18827245,0.559177293,-0.32720489,-0.447609559,0.317671159,0.962575418,1.056784613,1.562496219,1.58162266,1.777839246,2.187161442,2.382792618,2.261204403,4.741234665,1.842035286,0.754323543,0.18984514,-0.819488937,-0.869453337,-0.942896764,-0.435839201,-0.399016469,-0.384618336,-0.39955513,-0.094839211,0.24838952,0.484256724,0.47573843,0.052145111,-0.324094824,0.100016576,0.992936648,1.300333136,1.32326299,1.692574183,1.86662496,2.061590249,2.222860329,2.136745156,real
4.464064402,1.815887702,1.109144217,0.496515138,-0.578207281,-0.580721407,-0.54972194,-0.598172244,-0.35988354,-0.661143765,0.007674436,-0.004370249,-0.009250962,0.476235608,0.599885753,0.290075967,0.760141422,0.810958423,1.369349065,1.483027453,1.582076662,1.77245555,1.995226724,1.943285866,2.323277791,2.301472911,4.899275327,2.045192677,0.91987045,-0.653599826,-0.428100375,-0.563412242,-0.294838462,-0.712191186,-0.080757577,-0.024993459,-0.581064601,-0.906074965,0.232116835,0.488399187,0.613474826,0.810573657,1.028147905,0.906414617,1.47445113,1.431690254,1.447626859,1.908030341,1.874053584,1.984504273,2.248144646,2.490519371,real
6.048738876,2.971329501,2.200133855,1.055099057,0.515096485,0.447058065,0.073658186,0.173143462,-0.209311121,-0.27891577,0.180882333,0.032864959,0.696579463,0.547744288,0.443815361,0.680121901,0.534788959,0.696449436,0.40968945,0.597382063,1.30698523,1.96819161,1.646763439,2.004957486,2.278973535,2.346865657,6.046097958,3.097251833,1.159851113,0.400720786,-0.004868991,-0.847317113,-0.622388058,-0.324145423,-0.391820453,-0.769047973,-0.670228991,-0.4522231,0.116608209,0.465292833,0.527017047,0.786049098,0.347251603,0.808644322,0.99025442,1.140885449,1.263245791,1.479384528,1.742759739,1.960945074,2.137054034,2.116517631,real
4.880939643,2.153436079,0.85317179,0.385164088,-0.124141621,-0.563865967,-0.681731627,-0.439097411,-0.777900824,0.117604395,0.366922347,0.275436966,0.580431563,0.923757646,0.596237046,0.032365429,-0.220191925,0.231323671,0.591122483,1.187307833,1.545665559,1.722357599,2.130741939,2.402087071,2.33682883,2.635380421,6.062795468,2.743829671,0.927859728,0.548424649,0.078960697,-0.000169081,-0.280852378,-0.600381145,-0.55019271,-0.656780357,0.437352197,0.357893718,0.538625554,0.881942721,0.972297681,0.056557517,0.110881566,0.662246275,0.696743133,0.972649395,1.634464391,1.965008045,2.353184678,2.380755473,2.458601851,2.463089976,real
4.830604593,2.450224625,1.358987318,0.833369916,0.013302341,0.009603099,0.066190599,-0.020568448,0.021858415,-0.714163848,0.430281555,-0.28896064,0.120815974,0.326745567,-0.024272047,0.40161638,0.409696327,0.033059822,0.9138304,1.386193986,1.341862292,1.808568754,2.343068269,2.298216483,2.381359596,2.46122243,5.355205518,1.961239765,0.424491593,-0.555582342,-0.619495208,-0.29545941,-0.650951323,-0.953274404,-0.930958876,-0.829378651,0.12416894,0.167234694,0.428528375,-0.493490437,0.099723424,0.199838221,0.244515488,0.328294716,0.754186403,0.956348303,0.693634827,1.852675337,2.170008384,2.176471073,2.327484268,2.560385283,real
4.648372272,1.873999969,-0.695026545,-1.189275617,-1.086209399,-1.622132577,-0.422486606,-0.576210584,-0.57464825,-0.936602268,-0.749404275,-0.524355651,0.540780305,0.710553397,0.649634328,0.806962066,0.556746137,1.144578103,1.35446434,1.152904495,1.477302608,1.485121527,1.935310105,2.334192599,2.078587663,2.611051521,5.276124557,2.235195523,1.330220429,0.510144093,-0.029028183,-0.515914123,-0.077197256,0.23948255,-0.200431671,-0.89404831,-0.481648135,0.193424221,0.394426526,0.655871773,0.237248249,0.470680344,0.58546426,0.819722491,0.670353816,1.251426803,1.663384822,1.470680015,2.105792587,2.371613416,2.358726131,2.472107509,real
6.433318244,3.91756443,3.313918198,2.090277666,1.633197282,1.754937379,1.380551494,0.605729526,0.581154928,0.71402042,0.926526996,0.66383114,0.701623653,0.854800778,1.070711052,0.573120587,0.701254643,1.131768257,1.417452223,1.706207642,1.601944343,2.530007872,2.587925645,2.464119366,2.601412651,2.702267249,6.484131547,3.609094148,2.822679323,1.843610074,1.404200773,1.273018255,1.123460197,0.797609586,0.652752566,0.579632374,0.64259163,0.497039078,0.758973512,0.662932327,1.000539377,0.915125443,0.774870101,1.397571513,0.943491562,1.355751584,1.82623789,2.569821999,2.563102646,2.62141744,2.562525066,2.506390146,real
4.824956459,1.49570735,-0.258228063,-0.729612684,-0.752541277,-1.493242132,-0.745313137,-0.975989565,-0.222954338,-0.161818147,-0.514344149,0.084583056,0.25297344,0.691631116,0.410443475,0.765290173,0.698721715,0.954704755,1.284552173,1.194174162,1.583585084,1.759526705,2.007614643,2.66357795,2.651709764,2.886329451,4.738235919,1.27575972,0.941680272,0.255138189,0.55416031,0.811391728,0.902681266,0.903350933,1.143255213,1.133749658,0.770140774,1.498721134,1.542513406,1.302791972,1.449522662,1.262999405,0.961935284,1.035396659,1.681974004,1.672958849,1.810046957,1.789351492,1.95236237,2.653858838,2.734330476,2.814283944,real
4.295681881,1.915803685,0.848908642,0.414462368,-0.725829134,-1.065591209,-1.19029573,-0.665339794,-0.087268023,-0.240520112,0.309077366,0.120963926,0.626627364,0.93717168,0.945477796,0.940304268,0.691171927,0.461858956,0.852722619,0.870065636,1.054687238,1.703480855,2.064181669,2.487867087,2.314676516,2.157670108,4.80797911,2.335699229,1.260764577,0.839388947,-0.142415932,0.17160353,0.080629361,-0.861447354,-0.30660146,-0.149266742,0.230098749,0.453956137,0.905075358,0.74397612,1.031282293,0.873717663,1.025750088,0.895980514,0.651072924,1.463247631,1.524901201,1.752739825,1.897938014,2.295285827,2.383832372,2.393978417,real
5.810045633,3.167757823,1.697073233,1.044546776,0.782769743,0.07617321,0.257847292,-0.205677159,-0.088567995,-0.07619937,0.230600724,-0.041243309,0.463587731,0.217835634,0.042364135,0.467226776,0.523887524,0.72810747,1.574495132,0.964774652,1.196643712,1.749209016,2.059396507,2.503917313,2.327493214,2.308597153,5.993532754,2.962751841,1.632946674,1.031879956,0.778094843,0.405943507,0.331774688,-0.162509244,-0.068697137,-0.092844275,0.358037634,-0.169276649,0.92383871,0.845966571,0.399156109,0.452562006,0.803435647,1.033101187,0.950893347,1.107281125,1.671973604,1.65984074,2.164204305,2.437761216,2.463503897,2.144398126,real
